,Decade,huc4,DTW_Category,Well Count
0,1980,1501,Deep (10-61m),21
1,1980,1501,Near Surface (<2m),25
2,1980,1501,Shallow (5-10m),20
3,1980,1501,Very Shallow (2-5m),19
4,1980,1502,Deep (10-61m),152
5,1980,1502,Near Surface (<2m),62
6,1980,1502,Shallow (5-10m),106
7,1980,1502,Very Shallow (2-5m),71
8,1980,1503,Deep (10-61m),243
9,1980,1503,Near Surface (<2m),65
10,1980,1503,Shallow (5-10m),164
11,1980,1503,Very Shallow (2-5m),76
12,1980,1504,Deep (10-61m),288
13,1980,1504,Near Surface (<2m),41
14,1980,1504,Shallow (5-10m),211
15,1980,1504,Very Shallow (2-5m),140
16,1980,1505,Deep (10-61m),699
17,1980,1505,Near Surface (<2m),196
18,1980,1505,Shallow (5-10m),328
19,1980,1505,Very Shallow (2-5m),190
20,1980,1506,Deep (10-61m),754
21,1980,1506,Near Surface (<2m),162
22,1980,1506,Shallow (5-10m),617
23,1980,1506,Very Shallow (2-5m),358
24,1980,1507,Deep (10-61m),413
25,1980,1507,Near Surface (<2m),106
26,1980,1507,Shallow (5-10m),186
27,1980,1507,Very Shallow (2-5m),134
28,1980,1508,Deep (10-61m),34
29,1980,1508,Near Surface (<2m),8
30,1980,1508,Shallow (5-10m),11
31,1980,1508,Very Shallow (2-5m),15
32,1990,1407,Shallow (5-10m),2
33,1990,1408,Shallow (5-10m),1
34,1990,1408,Very Shallow (2-5m),1
35,1990,1501,Deep (10-61m),31
36,1990,1501,Near Surface (<2m),9
37,1990,1501,Shallow (5-10m),31
38,1990,1501,Very Shallow (2-5m),23
39,1990,1502,Deep (10-61m),164
40,1990,1502,Near Surface (<2m),68
41,1990,1502,Shallow (5-10m),176
42,1990,1502,Very Shallow (2-5m),93
43,1990,1503,Deep (10-61m),226
44,1990,1503,Near Surface (<2m),66
45,1990,1503,Shallow (5-10m),144
46,1990,1503,Very Shallow (2-5m),136
47,1990,1504,Deep (10-61m),191
48,1990,1504,Near Surface (<2m),26
49,1990,1504,Shallow (5-10m),128
50,1990,1504,Very Shallow (2-5m),68
51,1990,1505,Deep (10-61m),992
52,1990,1505,Near Surface (<2m),214
53,1990,1505,Shallow (5-10m),407
54,1990,1505,Very Shallow (2-5m),312
55,1990,1506,Deep (10-61m),921
56,1990,1506,Near Surface (<2m),216
57,1990,1506,Shallow (5-10m),591
58,1990,1506,Very Shallow (2-5m),377
59,1990,1507,Deep (10-61m),393
60,1990,1507,Near Surface (<2m),121
61,1990,1507,Shallow (5-10m),145
62,1990,1507,Very Shallow (2-5m),116
63,1990,1508,Deep (10-61m),68
64,1990,1508,Near Surface (<2m),15
65,1990,1508,Shallow (5-10m),28
66,1990,1508,Very Shallow (2-5m),29
67,2000,1408,Shallow (5-10m),1
68,2000,1408,Very Shallow (2-5m),1
69,2000,1501,Deep (10-61m),21
70,2000,1501,Near Surface (<2m),5
71,2000,1501,Shallow (5-10m),24
72,2000,1501,Very Shallow (2-5m),11
73,2000,1502,Deep (10-61m),172
74,2000,1502,Near Surface (<2m),21
75,2000,1502,Shallow (5-10m),138
76,2000,1502,Very Shallow (2-5m),105
77,2000,1503,Deep (10-61m),248
78,2000,1503,Near Surface (<2m),23
79,2000,1503,Shallow (5-10m),112
80,2000,1503,Very Shallow (2-5m),109
81,2000,1504,Deep (10-61m),243
82,2000,1504,Near Surface (<2m),5
83,2000,1504,Shallow (5-10m),136
84,2000,1504,Very Shallow (2-5m),44
85,2000,1505,Deep (10-61m),773
86,2000,1505,Near Surface (<2m),45
87,2000,1505,Shallow (5-10m),313
88,2000,1505,Very Shallow (2-5m),240
89,2000,1506,Deep (10-61m),566
90,2000,1506,Near Surface (<2m),50
91,2000,1506,Shallow (5-10m),341
92,2000,1506,Very Shallow (2-5m),193
93,2000,1507,Deep (10-61m),404
94,2000,1507,Near Surface (<2m),18
95,2000,1507,Shallow (5-10m),135
96,2000,1507,Very Shallow (2-5m),99
97,2000,1508,Deep (10-61m),35
98,2000,1508,Near Surface (<2m),4
99,2000,1508,Shallow (5-10m),18
100,2000,1508,Very Shallow (2-5m),10
101,2010,1501,Deep (10-61m),16
102,2010,1501,Near Surface (<2m),37
103,2010,1501,Shallow (5-10m),7
104,2010,1501,Very Shallow (2-5m),5
105,2010,1502,Deep (10-61m),50
106,2010,1502,Near Surface (<2m),5
107,2010,1502,Shallow (5-10m),18
108,2010,1502,Very Shallow (2-5m),14
109,2010,1503,Deep (10-61m),80
110,2010,1503,Near Surface (<2m),13
111,2010,1503,Shallow (5-10m),46
112,2010,1503,Very Shallow (2-5m),24
113,2010,1504,Deep (10-61m),116
114,2010,1504,Near Surface (<2m),2
115,2010,1504,Shallow (5-10m),29
116,2010,1504,Very Shallow (2-5m),12
117,2010,1505,Deep (10-61m),401
118,2010,1505,Near Surface (<2m),41
119,2010,1505,Shallow (5-10m),172
120,2010,1505,Very Shallow (2-5m),124
121,2010,1506,Deep (10-61m),182
122,2010,1506,Near Surface (<2m),16
123,2010,1506,Shallow (5-10m),147
124,2010,1506,Very Shallow (2-5m),75
125,2010,1507,Deep (10-61m),129
126,2010,1507,Near Surface (<2m),4
127,2010,1507,Shallow (5-10m),52
128,2010,1507,Very Shallow (2-5m),16
129,2010,1508,Deep (10-61m),21
130,2010,1508,Near Surface (<2m),4
131,2010,1508,Shallow (5-10m),14
132,2010,1508,Very Shallow (2-5m),10
133,2020,1501,Deep (10-61m),2
134,2020,1501,Near Surface (<2m),3
135,2020,1501,Shallow (5-10m),2
136,2020,1501,Very Shallow (2-5m),2
137,2020,1502,Deep (10-61m),28
138,2020,1502,Near Surface (<2m),9
139,2020,1502,Shallow (5-10m),14
140,2020,1502,Very Shallow (2-5m),13
141,2020,1503,Deep (10-61m),36
142,2020,1503,Near Surface (<2m),1
143,2020,1503,Shallow (5-10m),15
144,2020,1503,Very Shallow (2-5m),7
