,Decade,huc8,DTW_Category,Well Count
0,1980,15010001,Near Surface (<2m),2
1,1980,15010003,Deep (10-61m),1
2,1980,15010003,Near Surface (<2m),5
3,1980,15010003,Shallow (5-10m),1
4,1980,15010004,Near Surface (<2m),23
5,1980,15010004,Very Shallow (2-5m),5
6,1980,15010005,Deep (10-61m),1
7,1980,15010005,Shallow (5-10m),1
8,1980,15010005,Very Shallow (2-5m),2
9,1980,15010006,Near Surface (<2m),3
10,1980,15010006,Very Shallow (2-5m),1
11,1980,15010007,Deep (10-61m),9
12,1980,15010007,Near Surface (<2m),2
13,1980,15010007,Shallow (5-10m),6
14,1980,15010007,Very Shallow (2-5m),3
15,1980,15010009,Deep (10-61m),2
16,1980,15010009,Near Surface (<2m),5
17,1980,15010009,Shallow (5-10m),3
18,1980,15010009,Very Shallow (2-5m),3
19,1980,15010010,Deep (10-61m),30
20,1980,15010010,Near Surface (<2m),2
21,1980,15010010,Shallow (5-10m),12
22,1980,15010010,Very Shallow (2-5m),6
23,1980,15010014,Deep (10-61m),1
24,1980,15010014,Shallow (5-10m),1
25,1980,15010014,Very Shallow (2-5m),1
26,1980,15020001,Deep (10-61m),63
27,1980,15020001,Near Surface (<2m),19
28,1980,15020001,Shallow (5-10m),77
29,1980,15020001,Very Shallow (2-5m),44
30,1980,15020002,Deep (10-61m),18
31,1980,15020002,Near Surface (<2m),4
32,1980,15020002,Shallow (5-10m),5
33,1980,15020002,Very Shallow (2-5m),3
34,1980,15020003,Deep (10-61m),2
35,1980,15020003,Near Surface (<2m),8
36,1980,15020004,Deep (10-61m),4
37,1980,15020004,Shallow (5-10m),1
38,1980,15020005,Deep (10-61m),50
39,1980,15020005,Shallow (5-10m),6
40,1980,15020005,Very Shallow (2-5m),6
41,1980,15020006,Near Surface (<2m),1
42,1980,15020006,Shallow (5-10m),3
43,1980,15020006,Very Shallow (2-5m),1
44,1980,15020007,Deep (10-61m),9
45,1980,15020007,Near Surface (<2m),1
46,1980,15020007,Shallow (5-10m),6
47,1980,15020007,Very Shallow (2-5m),2
48,1980,15020008,Deep (10-61m),13
49,1980,15020008,Near Surface (<2m),12
50,1980,15020008,Shallow (5-10m),21
51,1980,15020008,Very Shallow (2-5m),3
52,1980,15020011,Deep (10-61m),1
53,1980,15020011,Near Surface (<2m),1
54,1980,15020011,Shallow (5-10m),1
55,1980,15020011,Very Shallow (2-5m),1
56,1980,15020015,Deep (10-61m),89
57,1980,15020015,Near Surface (<2m),16
58,1980,15020015,Shallow (5-10m),15
59,1980,15020015,Very Shallow (2-5m),14
60,1980,15020016,Deep (10-61m),1
61,1980,15020016,Near Surface (<2m),6
62,1980,15020016,Shallow (5-10m),1
63,1980,15020017,Near Surface (<2m),2
64,1980,15020017,Shallow (5-10m),3
65,1980,15020018,Deep (10-61m),1
66,1980,15020018,Near Surface (<2m),8
67,1980,15020018,Shallow (5-10m),10
68,1980,15020018,Very Shallow (2-5m),13
69,1980,15030101,Deep (10-61m),123
70,1980,15030101,Near Surface (<2m),9
71,1980,15030101,Shallow (5-10m),41
72,1980,15030101,Very Shallow (2-5m),44
73,1980,15030103,Deep (10-61m),9
74,1980,15030103,Near Surface (<2m),3
75,1980,15030103,Shallow (5-10m),2
76,1980,15030103,Very Shallow (2-5m),1
77,1980,15030104,Deep (10-61m),10
78,1980,15030104,Near Surface (<2m),6
79,1980,15030104,Shallow (5-10m),22
80,1980,15030104,Very Shallow (2-5m),9
81,1980,15030105,Deep (10-61m),106
82,1980,15030105,Near Surface (<2m),6
83,1980,15030106,Deep (10-61m),128
84,1980,15030106,Near Surface (<2m),9
85,1980,15030106,Shallow (5-10m),77
86,1980,15030106,Very Shallow (2-5m),2
87,1980,15030107,Deep (10-61m),2
88,1980,15030107,Near Surface (<2m),8
89,1980,15030107,Shallow (5-10m),28
90,1980,15030107,Very Shallow (2-5m),29
91,1980,15030108,Deep (10-61m),1
