,Combo_ID,huc8,Date,DTW,DTW_meters,DTW_Category,Decade
5198728,558318,14070006,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
5198730,558319,14070006,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
5198729,558318,14070007,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
5198731,558319,14070007,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
3172084,370119110181401,14080205,1990-05-01,11.0,3.3528000000000002,Very Shallow (2-5m),1990
3223202,370119110181401,14080205,1990-07-01,14.7,4.48056,Very Shallow (2-5m),1990
3248761,370119110181401,14080205,1990-08-01,15.0,4.572,Very Shallow (2-5m),1990
3274320,370119110181401,14080205,1990-09-01,16.0,4.8768,Very Shallow (2-5m),1990
3299879,370119110181401,14080205,1990-10-01,15.0,4.572,Very Shallow (2-5m),1990
3325438,370119110181401,14080205,1990-11-01,14.5,4.4196,Very Shallow (2-5m),1990
3350997,370119110181401,14080205,1990-12-01,14.0,4.2672,Very Shallow (2-5m),1990
3402115,370119110181401,14080205,1991-02-01,14.0,4.2672,Very Shallow (2-5m),1990
3453233,370119110181401,14080205,1991-04-01,14.0,4.2672,Very Shallow (2-5m),1990
3478792,370119110181401,14080205,1991-05-01,14.0,4.2672,Very Shallow (2-5m),1990
3504351,370119110181401,14080205,1991-06-01,16.0,4.8768,Very Shallow (2-5m),1990
3529910,370119110181401,14080205,1991-07-01,14.0,4.2672,Very Shallow (2-5m),1990
3555469,370119110181401,14080205,1991-08-01,14.0,4.2672,Very Shallow (2-5m),1990
3606587,370119110181401,14080205,1991-10-01,14.5,4.4196,Very Shallow (2-5m),1990
3632146,370119110181401,14080205,1991-11-01,14.0,4.2672,Very Shallow (2-5m),1990
3657705,370119110181401,14080205,1991-12-01,14.5,4.4196,Very Shallow (2-5m),1990
3683264,370119110181401,14080205,1992-01-01,14.0,4.2672,Very Shallow (2-5m),1990
3708823,370119110181401,14080205,1992-02-01,14.0,4.2672,Very Shallow (2-5m),1990
3759941,370119110181401,14080205,1992-04-01,14.0,4.2672,Very Shallow (2-5m),1990
3938854,370119110181401,14080205,1992-11-01,14.0,4.2672,Very Shallow (2-5m),1990
4015531,370119110181401,14080205,1993-02-01,14.0,4.2672,Very Shallow (2-5m),1990
4092208,370119110181401,14080205,1993-05-01,14.0,4.2672,Very Shallow (2-5m),1990
4143326,370119110181401,14080205,1993-07-01,14.0,4.2672,Very Shallow (2-5m),1990
4194444,370119110181401,14080205,1993-09-01,14.0,4.2672,Very Shallow (2-5m),1990
4296680,370119110181401,14080205,1994-01-01,14.5,4.4196,Very Shallow (2-5m),1990
4680065,370119110181401,14080205,1995-04-01,19.0,5.7912,Shallow (5-10m),1990
4910096,370119110181401,14080205,1996-01-01,14.0,4.2672,Very Shallow (2-5m),1990
4961214,370119110181401,14080205,1996-03-01,15.0,4.572,Very Shallow (2-5m),1990
4986773,370119110181401,14080205,1996-04-01,14.0,4.2672,Very Shallow (2-5m),1990
5063450,370119110181401,14080205,1996-07-01,17.2,5.24256,Shallow (5-10m),1990
5216804,370119110181401,14080205,1997-01-01,14.0,4.2672,Very Shallow (2-5m),1990
5293481,370119110181401,14080205,1997-04-01,14.0,4.2672,Very Shallow (2-5m),1990
5370158,370119110181401,14080205,1997-07-01,14.0,4.2672,Very Shallow (2-5m),1990
5446835,370119110181401,14080205,1997-10-01,14.0,4.2672,Very Shallow (2-5m),1990
5523512,370119110181401,14080205,1998-01-01,15.0,4.572,Very Shallow (2-5m),1990
5600189,370119110181401,14080205,1998-04-01,15.0,4.572,Very Shallow (2-5m),1990
5753543,370119110181401,14080205,1998-10-01,15.0,4.572,Very Shallow (2-5m),1990
5932456,370119110181401,14080205,1999-05-01,14.0,4.2672,Very Shallow (2-5m),1990
6009133,370119110181401,14080205,1999-08-01,15.0,4.572,Very Shallow (2-5m),1990
6085810,370119110181401,14080205,1999-11-01,13.0,3.9624,Very Shallow (2-5m),1990
6162487,370119110181401,14080205,2000-02-01,14.0,4.2672,Very Shallow (2-5m),2000
6213605,370119110181401,14080205,2000-04-01,14.0,4.2672,Very Shallow (2-5m),2000
6315841,370119110181401,14080205,2000-08-01,16.0,4.8768,Very Shallow (2-5m),2000
6418077,370119110181401,14080205,2000-12-01,15.4,4.69392,Very Shallow (2-5m),2000
6520313,370119110181401,14080205,2001-04-01,14.0,4.2672,Very Shallow (2-5m),2000
6648108,370119110181401,14080205,2001-09-01,15.0,4.572,Very Shallow (2-5m),2000
6724785,370119110181401,14080205,2001-12-01,14.0,4.2672,Very Shallow (2-5m),2000
6801462,370119110181401,14080205,2002-03-01,14.0,4.2672,Very Shallow (2-5m),2000
6878139,370119110181401,14080205,2002-06-01,17.0,5.1816,Shallow (5-10m),2000
6903698,370119110181401,14080205,2002-07-01,15.0,4.572,Very Shallow (2-5m),2000
6929257,370119110181401,14080205,2002-08-01,14.0,4.2672,Very Shallow (2-5m),2000
6954816,370119110181401,14080205,2002-09-01,15.0,4.572,Very Shallow (2-5m),2000
6980375,370119110181401,14080205,2002-10-01,16.0,4.8768,Very Shallow (2-5m),2000
7082611,370119110181401,14080205,2003-02-01,15.0,4.572,Very Shallow (2-5m),2000
7133729,370119110181401,14080205,2003-04-01,14.0,4.2672,Very Shallow (2-5m),2000
7184847,370119110181401,14080205,2003-06-01,15.0,4.572,Very Shallow (2-5m),2000
7210406,370119110181401,14080205,2003-07-01,17.1,5.21208,Shallow (5-10m),2000
7235965,370119110181401,14080205,2003-08-01,17.0,5.1816,Shallow (5-10m),2000
7261524,370119110181401,14080205,2003-09-01,15.0,4.572,Very Shallow (2-5m),2000
7287083,370119110181401,14080205,2003-10-01,16.0,4.8768,Very Shallow (2-5m),2000
7312642,370119110181401,14080205,2003-11-01,13.5,4.1148,Very Shallow (2-5m),2000
7338201,370119110181401,14080205,2003-12-01,14.0,4.2672,Very Shallow (2-5m),2000
7389319,370119110181401,14080205,2004-02-01,15.0,4.572,Very Shallow (2-5m),2000
7414878,370119110181401,14080205,2004-03-01,13.0,3.9624,Very Shallow (2-5m),2000
7440437,370119110181401,14080205,2004-04-01,14.0,4.2672,Very Shallow (2-5m),2000
7465996,370119110181401,14080205,2004-05-01,13.0,3.9624,Very Shallow (2-5m),2000
7517114,370119110181401,14080205,2004-07-01,14.0,4.2672,Very Shallow (2-5m),2000
7542673,370119110181401,14080205,2004-08-01,14.0,4.2672,Very Shallow (2-5m),2000
7568232,370119110181401,14080205,2004-09-01,13.0,3.9624,Very Shallow (2-5m),2000
2663829,521956,15010001,1988-09-01,0.0,0.0,Near Surface (<2m),1980
3074502,526708,15010001,1990-01-01,0.0,0.0,Near Surface (<2m),1990
3100060,526707,15010001,1990-02-01,0.0,0.0,Near Surface (<2m),1990
5198733,558318,15010001,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
5198734,558319,15010001,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
11756720,921252,15010001,2018-04-01,28.0,8.5344,Shallow (5-10m),2010
11756722,921254,15010001,2018-04-01,28.0,8.5344,Shallow (5-10m),2010
11756719,921252,15010002,2018-04-01,28.0,8.5344,Shallow (5-10m),2010
11756721,921254,15010002,2018-04-01,28.0,8.5344,Shallow (5-10m),2010
1845936,512750,15010003,1986-01-01,30.0,9.144,Shallow (5-10m),1980
1871496,513585,15010003,1986-02-01,0.0,0.0,Near Surface (<2m),1980
2101528,514725,15010003,1986-11-01,0.0,0.0,Near Surface (<2m),1980
2203765,515983,15010003,1987-03-01,0.0,0.0,Near Surface (<2m),1980
2638269,521579,15010003,1988-08-01,0.0,0.0,Near Surface (<2m),1980
3048941,526281,15010003,1989-12-01,66.0,20.1168,Deep (10-61m),1980
3202298,526741,15010003,1990-06-01,33.0,10.0584,Deep (10-61m),1990
3534566,532251,15010003,1991-07-01,16.0,4.8768,Very Shallow (2-5m),1990
3534567,532252,15010003,1991-07-01,16.0,4.8768,Very Shallow (2-5m),1990
5198732,556288,15010003,1996-12-01,22.0,6.7056000000000004,Shallow (5-10m),1990
8512026,215363,15010003,2007-10-01,0.0,0.0,Near Surface (<2m),2000
9917772,221354,15010003,2012-05-01,42.0,12.8016,Deep (10-61m),2010
11271097,919879,15010003,2016-09-01,30.0,9.144,Shallow (5-10m),2010
485622,87790,15010004,1981-08-01,12.0,3.6576000000000004,Very Shallow (2-5m),1980
770902,502417,15010004,1982-07-01,7.0,2.1336,Very Shallow (2-5m),1980
975375,504842,15010004,1983-03-01,0.0,0.0,Near Surface (<2m),1980
1409880,508731,15010004,1984-08-01,0.0,0.0,Near Surface (<2m),1980
1692588,511679,15010004,1985-07-01,0.0,0.0,Near Surface (<2m),1980
2280446,515027,15010004,1987-06-01,0.0,0.0,Near Surface (<2m),1980
2331565,518003,15010004,1987-08-01,0.0,0.0,Near Surface (<2m),1980
2331566,518004,15010004,1987-08-01,0.0,0.0,Near Surface (<2m),1980
2331568,518385,15010004,1987-08-01,0.0,0.0,Near Surface (<2m),1980
2612721,520696,15010004,1988-07-01,0.0,0.0,Near Surface (<2m),1980
2612723,521302,15010004,1988-07-01,0.0,0.0,Near Surface (<2m),1980
2638283,521746,15010004,1988-08-01,10.0,3.048,Very Shallow (2-5m),1980
2638284,521805,15010004,1988-08-01,0.0,0.0,Near Surface (<2m),1980
2663844,522308,15010004,1988-09-01,8.0,2.4384,Very Shallow (2-5m),1980
2919435,523637,15010004,1989-07-01,0.0,0.0,Near Surface (<2m),1980
2921153,524855,15010004,1989-07-01,0.0,0.0,Near Surface (<2m),1980
2921154,524857,15010004,1989-07-01,0.0,0.0,Near Surface (<2m),1980
3176746,527922,15010004,1990-05-01,0.0,0.0,Near Surface (<2m),1990
3304542,528646,15010004,1990-10-01,0.0,0.0,Near Surface (<2m),1990
3739050,534464,15010004,1992-03-01,18.0,5.486400000000001,Shallow (5-10m),1990
3739051,534465,15010004,1992-03-01,10.0,3.048,Very Shallow (2-5m),1990
4200649,540334,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
4200650,540335,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
4200651,540336,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
4200652,540337,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
4200653,540338,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
4200654,540339,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
4200655,540340,15010004,1993-09-01,9.0,2.7432000000000003,Very Shallow (2-5m),1990
6632308,588026,15010004,2001-08-01,18.0,5.486400000000001,Shallow (5-10m),2000
7170126,598256,15010004,2003-05-01,5.0,1.524,Near Surface (<2m),2000
7488790,203731,15010004,2004-06-01,30.0,9.144,Shallow (5-10m),2000
7539911,204576,15010004,2004-08-01,13.0,3.9624,Very Shallow (2-5m),2000
7539912,204577,15010004,2004-08-01,13.0,3.9624,Very Shallow (2-5m),2000
7539913,204578,15010004,2004-08-01,13.0,3.9624,Very Shallow (2-5m),2000
7539914,204579,15010004,2004-08-01,13.0,3.9624,Very Shallow (2-5m),2000
7539915,204580,15010004,2004-08-01,13.0,3.9624,Very Shallow (2-5m),2000
7818467,902410,15010004,2005-06-01,16.0,4.8768,Very Shallow (2-5m),2000
9685538,913475,15010004,2011-07-01,14.0,4.2672,Very Shallow (2-5m),2010
9864452,914100,15010004,2012-02-01,35.0,10.668000000000001,Deep (10-61m),2010
11833405,921911,15010004,2018-07-01,65.0,19.812,Deep (10-61m),2010
13549046,352343111580701,15010004,2024-03-01,6.1,1.85928,Near Surface (<2m),2020
13566959,644467,15010004,2024-03-01,7.9,2.4079200000000003,Very Shallow (2-5m),2020
13566969,646927,15010004,2024-03-01,2.8,0.85344,Near Surface (<2m),2020
95201,637021,15010005,1980-04-01,135.9,41.422320000000006,Deep (10-61m),1980
1369445,614902,15010005,1984-06-01,7.57,2.3073360000000003,Very Shallow (2-5m),1980
1369446,614903,15010005,1984-06-01,14.8,4.51104,Very Shallow (2-5m),1980
1833213,637021,15010005,1985-12-01,137.3,41.84904,Deep (10-61m),1980
2238451,614902,15010005,1987-04-01,8.4,2.5603200000000004,Very Shallow (2-5m),1980
2238452,614903,15010005,1987-04-01,15.3,4.6634400000000005,Very Shallow (2-5m),1980
2240280,629085,15010005,1987-04-01,22.8,6.949440000000001,Shallow (5-10m),1980
3392312,637021,15010005,1991-01-01,134.0,40.8432,Deep (10-61m),1990
4871028,614902,15010005,1995-11-01,2.8,0.85344,Near Surface (<2m),1990
4871029,614903,15010005,1995-11-01,9.4,2.86512,Very Shallow (2-5m),1990
4872857,629085,15010005,1995-11-01,44.6,13.594080000000002,Deep (10-61m),1990
4874734,637021,15010005,1995-11-01,134.3,40.93464000000001,Deep (10-61m),1990
7430634,637021,15010005,2004-03-01,134.0,40.8432,Deep (10-61m),2000
7991055,629085,15010005,2006-01-01,111.3,33.92424,Deep (10-61m),2000
8095168,637021,15010005,2006-05-01,131.3,40.02024000000001,Deep (10-61m),2000
8222963,637021,15010005,2006-10-01,133.3,40.62984000000001,Deep (10-61m),2000
8580789,637021,15010005,2007-12-01,133.1,40.56888,Deep (10-61m),2000
8836379,637021,15010005,2008-10-01,133.8,40.78224000000001,Deep (10-61m),2000
9143087,637021,15010005,2009-10-01,133.4,40.660320000000006,Deep (10-61m),2000
9449795,637021,15010005,2010-10-01,133.5,40.6908,Deep (10-61m),2010
9756503,637021,15010005,2011-10-01,133.1,40.56888,Deep (10-61m),2010
10088770,637021,15010005,2012-11-01,133.0,40.5384,Deep (10-61m),2010
