Decade,Combo_ID,1980,1990,2000,2010,2020
0,83578,3.6576,,,,
1,84067,0,,,,
2,84614,3.6576,,,,
3,84630,5.4864,,,,
4,84633,5.4864,,,,
5,84717,5.7912,,,,
6,84718,7.3152,,,,
7,84734,24.384,,,,
8,84806,9.144,,,,
9,84810,8.5344,,,,
10,84823,47.8536,,,,
11,84824,13.716,,,,
12,84828,5.4864,,,,
13,84926,12.192,,,,
14,84952,10.668,,,,
15,84955,27.432,,,,
16,84956,7.3152,,,,
17,84966,27.432,,,,
18,84969,0,,,,
19,84970,5.4864,,,,
20,84973,24.384,,,,
21,84977,20.7264,,,,
22,84983,11.5824,,,,
23,84989,19.812,,,,
24,84991,19.812,,,,
25,84992,32.004,,,,
26,84999,30.1752,36.51504,,,
27,85002,4.572,,,,
28,85003,24.384,,,,
29,85004,19.812,,,,
30,85005,0,11.21664,,,15.94104
31,85012,15.24,,,,
32,85016,6.7056,,,,
33,85018,6.7056,,,,
34,85021,7.9248,,,,
35,85023,19.2024,,,,
36,85027,0.6096,,,,
37,85028,7.62,,,,
38,85031,27.432,,,,
39,85036,32.9184,,,,
40,85037,44.196,,,,
41,85038,15.24,,,,
42,85039,38.1,,,,
43,85044,22.86,,,,
44,85045,27.432,,,,
45,85061,24.384,,,,
46,85062,33.528,,,,
47,85063,18.288,,,,
48,85065,12.192,,,,
49,85085,5.4864,,,,
50,85086,3.048,,,,
51,85087,5.4864,,,,
52,85088,2.1336,,,,
53,85089,28.0416,,,,
54,85091,18.288,,,,
55,85092,18.288,,,,
56,85093,13.4112,,,,
57,85104,12.192,,,,
58,85120,16.764,,,,
59,85121,15.97914,,,,
60,85139,9.144,,,,
61,85222,8.5344,,,,
62,85223,18.288,,,,
63,85238,6.096,,,,
64,85255,9.7536,,,,
65,85257,24.384,,,,
66,85264,28.956,,,,
67,85272,2.4384,,,,
68,85273,2.4384,,,,
69,85274,27.432,,,,
70,85279,12.192,,,,
71,85280,21.0312,,,,
72,85289,45.72,,,,
73,85291,7.3152,,,,
74,85297,3.3528,,,,
75,85299,14.3256,,,,
76,85307,5.1816,,,,
77,85338,33.528,,,,
78,85340,21.336,,,,
79,85342,21.336,,,,
80,85365,38.1,,,,
81,85367,5.4864,,,,
82,85372,28.956,,,,
83,85374,12.192,,,,
84,85375,51.816,,,,
85,85376,45.1104,,55.1688,58.73496,
86,85378,27.432,,,,
87,85379,15.24,,,,
88,85380,24.384,,,,
89,85381,19.812,,,,
90,85390,33.528,,,,
91,85391,11.8872,,,,
92,85395,4.262628,,,,
93,85398,4.2672,,,,
94,85402,4.620006,,,,
95,85425,18.288,,,,
96,85431,10.3632,,,,
97,85435,9.144,,,,
98,85446,7.62,,,,
99,85449,16.764,,,,
100,85452,9.144,,,,
101,85454,30.48,,,,
102,85455,3.38328,,,,
103,85461,4.2672,,,,
104,85466,30.48,,,,
105,85469,16.764,,,,
106,85475,22.6314,,,,
107,85481,7.9248,,,,
108,85487,6.096,,,,
109,85492,42.672,,,,
110,85493,5.4864,,,,
111,85494,33.528,,,,
112,85495,3.048,,,,
113,85498,33.528,,,,
114,85510,17.0688,,,,
115,85511,10.668,,,,
116,85512,18.288,,,,
117,85521,6.096,,,,
118,85523,50.9016,,,,
119,85525,15.24,,,,
120,85541,7.3152,,,,
121,85547,6.096,,,,
122,85550,38.4048,,,,
123,85551,38.4048,,,,
124,85554,10.668,,,,
125,85555,7.62,,,,
126,85556,13.1064,,,,
127,85557,18.288,,,,
128,85558,45.72,,,,
129,85559,4.8768,,,,
130,85560,15.24,,,,
131,85568,6.096,,,,
132,85576,6.096,,,,
133,85577,18.8976,,,,
134,85585,8.5344,,,,
135,85587,3.416808,,,,
136,85590,5.4864,,,,
137,85591,35.052,,,,
138,85593,33.528,,,,
139,85594,35.052,,,,
140,85595,12.192,,,,
141,85596,47.244,,,,
142,85599,14.3256,,,,
143,85600,33.528,,,,
144,85601,9.144,,,,
145,85606,11.5824,,,,
146,85608,17.0688,,,,
147,85615,0,,,,
148,85617,21.336,,,,
149,85648,9.144,,,,
150,85651,22.2504,,,,
151,85653,1.2192,,,,
152,85655,4.2672,,,,
153,85656,7.62,,,,
154,85657,16.764,,,,
155,85662,24.384,,,,
156,85668,10.668,,,,
157,85675,18.288,,,,
158,85676,2.7432,,,,
159,85691,18.288,,,,
160,85695,21.336,,,,
161,85698,30.48,,,,
162,85709,5.4864,,,,
163,85710,25.908,,,,
164,85711,4.572,,,,
165,85712,13.716,,,,
166,85715,12.192,,,,
167,85719,14.3256,,,,
168,85722,14.0208,,,,
169,85723,12.8016,,,,
170,85729,0,,,,
171,85730,2.7432,,,,
172,85732,1.524,,,,
173,85733,24.0792,,,,
174,85735,5.4864,,,,
175,85736,29.2608,,,,
176,85739,15.5448,,,,
177,85741,17.9832,,,,
178,85753,24.384,,,,
179,85761,12.021312,12.4968,13.01496,13.70076,13.60932
180,85762,21.9456,,,,
181,85770,28.956,,,,
182,85772,7.0104,,,,
183,85775,15.24,,,,
184,85778,19.812,,,,
185,85780,28.956,,,,
186,85781,18.288,,,,
187,85782,25.908,,,,
188,85783,18.288,,,,
189,85789,27.432,,,,
190,85790,5.4864,,,,
191,85794,30.48,,,,
192,85806,21.336,,,,
193,85814,15.02664,,,,
194,85816,33.528,,,,
195,85817,28.956,,,,
196,85822,6.096,,,,
197,85823,9.144,,,,
198,85834,23.68296,,,31.63824,31.66872
199,85837,10.668,,,,
200,85838,4.2672,,,,
201,85842,0,,,,
202,85855,9.144,,,,
203,85870,19.812,,,,
204,85871,19.5072,,,,
205,85872,15.8496,,,,
206,85931,0,,,,
207,85933,13.716,,,,
208,85934,35.6616,,,,
209,85937,29.2608,,,,
210,85943,21.9456,,,,
211,85950,18.12036,,,,
212,85953,22.86,,,,
213,85962,5.1816,,,,
214,85969,6.096,,,,
215,85981,3.6576,,,,
216,85985,3.3528,,,,
217,85988,14.0208,,,,
218,85998,11.5824,,13.19784,,
219,85999,23.1648,,,,
220,86000,15.24,,,,
221,86012,19.812,,,,
222,86014,3.048,,,,
223,86015,24.384,,,,
224,86019,3.9624,,,,
225,86020,41.148,,,,
226,86022,0,,,,
227,86023,9.4488,,,,
228,86024,4.2672,,,,
229,86025,7.303008,,,15.66672,
230,86026,6.096,,,,
231,86027,13.1064,,,,
232,86028,12.192,,,,
233,86029,21.9456,,,,
234,86030,15.8496,,,,
235,86031,0,,,,
236,86032,0,,,,
237,86033,12.192,,,,
238,86034,0,,,,
239,86035,6.096,,,,
240,86036,7.3152,,,,
241,86037,4.2672,,,,
242,86038,0,,,,
243,86039,10.668,,,,
244,86040,14.6304,,,,
245,86058,35.052,,,,
246,86062,0,,,,
247,86066,0,,,,
248,86067,3.048,,,,
249,86068,3.048,,,,
250,86070,23.7744,,,,
251,86073,25.6032,,,,
252,86094,4.8768,,,,
253,86095,9.7536,,,,
254,86100,12.8016,,,,
255,86107,24.384,,,,
256,86114,8.8392,,,,
257,86116,13.716,,,,
258,86119,6.4008,,,,
259,86120,12.192,,,,
260,86130,24.384,,,,
261,86131,18.288,,,,
262,86132,18.288,,,,
263,86133,0,,,,
264,86134,13.4112,,,,
265,86137,2.4384,,,,
266,86138,4.572,,,,
267,86139,3.6576,,,,
268,86141,7.62,,,,
269,86142,7.62,,,,
270,86143,7.62,,,,
271,86144,7.62,,,,
272,86145,7.62,,,,
273,86146,7.62,,,,
274,86147,7.62,,,,
275,86148,7.62,,,,
276,86149,7.62,,,,
277,86150,7.62,,,,
278,86151,7.62,,,,
279,86152,0,,,,
280,86153,13.716,,,,
281,86155,21.336,,,,
282,86165,0,,,,
283,86166,10.668,,,,
284,86173,9.144,,,,
285,86176,30.48,,,,
286,86179,28.3464,,,,
287,86180,9.144,,,,
288,86181,14.0208,,,,
289,86184,19.812,,,,
290,86185,27.432,,,,
291,86192,4.572,,,,
292,86193,4.2672,,,,
293,86195,37.7952,,,,
294,86198,37.4904,,,,
295,86199,9.144,,,,
296,86208,10.668,,,,
297,86214,26.2128,,,,
298,86241,18.288,,,,
299,86251,5.4864,,,,
300,86256,11.8872,,,,
301,86257,20.193,18.71472,,19.56816,
302,86259,0,,,,
303,86262,28.3464,,,,
304,86267,11.2776,,,,
305,86272,3.9624,,,,
306,86276,19.812,,,,
307,86280,10.981182,10.95756,11.26236,11.49096,11.24712
308,86290,7.0104,,,,
309,86296,3.3528,,,,
310,86297,23.7744,,,,
311,86298,22.86,,,,
312,86301,6.096,,,,
313,86302,21.336,,,,
314,86312,4.2672,,,,
315,86313,15.24,,,,
316,86314,3.048,,,,
317,86337,10.668,,,,
318,86341,27.432,,,,
319,86342,18.288,,,,
320,86343,3.048,,,,
321,86344,0,,,,
322,86346,3.6576,,,,
323,86348,0,,,,
324,86352,27.432,,,,
325,86354,15.5448,,,,
326,86356,36.576,,,,
327,86358,5.7912,,,,
328,86376,13.716,,,,
329,86377,3.6576,,,,
330,86382,0,,,,
331,86383,0,,,,
332,86384,0,,,,
333,86385,0,,,,
334,86386,19.812,,,,
335,86387,15.5448,,,,
336,86396,27.432,,,,
337,86397,18.288,,,,
338,86399,22.86,,,,
339,86401,6.096,,,,
340,86404,2.4384,,,,
341,86405,9.144,,,,
342,86410,36.576,,,,
343,86416,0,,,,
344,86419,17.6784,,,,
345,86420,14.6304,,,,
346,86424,11.2776,,,,
347,86425,0,,,,
348,86436,0,,,,
349,86447,15.5448,,,,
350,86469,19.812,,,,
351,86470,10.668,,,,
352,86477,15.24,,,,
353,86480,32.9184,28.16352,32.9184,,
354,86481,7.62,,,,
355,86489,4.2672,3.38328,,,
356,86491,19.812,,,,
357,86492,4.572,,,,
358,86493,6.096,,,,
359,86494,0,,,,
360,86497,17.6784,,,,
361,86499,36.576,,,,
362,86502,0,,,,
363,86503,0,,,,
364,86504,10.0584,,,,
365,86507,3.9624,,,9.2202,
366,86514,9.144,,,,
367,86522,16.764,,,,
368,86525,32.004,,,,
369,86527,4.572,,,,
370,86533,0,,,,
371,86534,0,,,,
372,86535,0,,,,
373,86537,0,,,,
374,86538,0,,,,
375,86539,0,,,,
376,86540,0,,,,
377,86541,0,,,,
378,86542,0,,,,
379,86543,0,,,,
380,86544,0,,,,
381,86545,0,,,,
382,86546,0,,,,
383,86547,0,,,,
384,86548,0,,,,
385,86549,0,,,,
386,86550,0,,,,
387,86551,0,,,,
388,86601,5.1816,,,,
389,86603,32.9184,,,,
390,86609,3.6576,,,,
391,86610,4.8768,,,,
392,86612,14.6304,15.91056,,,
393,86617,11.5824,,,,
394,86621,21.336,,,,
395,86623,0,,,,
396,86624,0,,,,
397,86625,0,,,,
398,86626,12.192,,,,
399,86628,10.0584,,,,
400,86629,10.021824,,,,
401,86646,32.004,,,,
402,86686,0,,,,
403,86699,12.192,,,,
404,86703,6.096,,,,
405,86706,27.432,,,,
406,86707,6.096,,,,
407,86709,5.1816,,,,
408,86714,0,,,,
409,86715,21.4884,22.82952,27.18816,28.68168,
410,86716,18.288,,,,
411,86725,9.144,,,,
412,86726,6.096,,,,
413,86730,25.908,,,,
414,86731,18.288,,,,
415,86733,18.288,,,,
416,86738,38.1,,,,
417,86739,36.576,,,,
418,86743,16.764,,,,
419,86745,15.24,,,,
420,86748,24.9936,,,,
421,86750,18.5928,,,,
422,86753,9.144,,,,
423,86759,14.0208,11.49096,11.2776,,
424,86766,0,,,,
425,86767,0,,,,
426,86776,5.4864,,,,
427,86800,30.48,,,,
428,86801,12.192,,,,
429,86819,18.288,,,,
430,86823,33.528,,,,
431,86837,5.4864,,,,
432,86838,38.1,,,,
433,86840,9.4488,,,,
434,86841,24.384,,,,
435,86844,0,21.70176,,,
436,86845,25.908,,,,
437,86847,12.192,,,,
438,86848,15.24,,,,
439,86851,24.384,,,,
440,86859,33.528,,,,
441,86870,3.3528,,,,
442,86871,30.48,,,,
443,86874,45.72,,,,
444,86888,37.7952,27.98064,35.21964,,34.86912
445,86893,45.72,,,,
446,86894,38.1,,,,
447,86895,29.8704,,,,
448,86898,17.6784,,,,
449,86899,41.148,,,,
450,86900,23.1648,,,,
451,86905,13.716,14.0208,11.431524,15.17904,
452,86908,9.144,,,,
453,86910,12.483084,18.56232,20.36064,8.32104,
454,86913,28.0416,,,,
455,86914,24.384,,,,
456,86915,30.7848,,,,
457,86916,4.8768,,,,
458,86919,24.384,,,,
459,86921,7.62,,,,
460,86936,18.288,,,,
461,86937,12.192,,,,
462,86944,20.1168,,,,
463,86947,12.192,,,,
464,86956,4.8768,,,,
465,86959,33.528,39.28872,33.42132,,
466,86965,33.2232,,,,
467,86967,21.0312,,,,
468,86968,6.096,,,,
469,86969,5.1816,,,,
470,86972,34.4424,,,,
471,86974,10.668,,,,
472,86975,42.672,,,,
473,86977,19.812,,,,
474,86978,19.812,,,,
475,86980,16.764,,,,
476,86982,27.432,,,,
477,86986,18.288,,,,
478,86993,1.8288,,,,
479,87019,3.3528,4.45008,,7.19328,
480,87020,2.4384,4.38912,,6.15696,
481,87023,9.144,,,,
482,87026,12.192,,,,
483,87032,17.0688,,,,
484,87034,6.096,,,,
485,87046,16.764,,,,
486,87049,12.4968,,,,
487,87053,16.764,,,,
488,87055,25.908,,,,
489,87057,25.908,,,,
490,87146,19.812,,,,
491,87147,12.192,,,,
492,87154,0,,,,
493,87155,9.144,,20.77212,,
494,87158,45.72,,,,
495,87159,6.096,,,,
496,87164,25.908,,,,
497,87165,24.384,,,,
498,87173,14.0208,,,,
499,87181,15.24,,,,
500,87182,12.192,,,,
501,87184,27.432,,,,
502,87190,6.096,,,,
503,87192,15.24,,,,
504,87193,0,,,,
505,87196,13.1064,,,,
506,87198,21.9456,,,,
507,87201,20.7264,,,56.72328,
508,87202,13.1064,,,,
509,87204,7.0104,,,,
510,87206,6.4008,,,,
511,87216,9.144,,,,
512,87232,38.1,,,,
513,87235,27.1272,,,,
514,87237,19.812,,,,
515,87239,21.336,,,,
516,87245,0,,,,
517,87249,27.432,,,,
518,87251,17.6784,,,,
519,87256,18.288,,,,
520,87257,0,,,,
521,87258,24.384,,,,
522,87260,16.4592,,,,
523,87264,9.144,,,,
524,87268,3.9624,,,,
525,87276,9.7536,9.20496,9.386316,,
526,87283,6.7056,,,,
527,87284,6.096,,,,
528,87286,21.336,,,,
529,87291,16.764,,,,
530,87296,25.46604,27.53868,,,
531,87303,26.8224,,,,
532,87306,2.4384,,,,
533,87312,1.524,,,,
534,87313,1.524,,,,
535,87316,3.6576,,,,
536,87317,3.3528,,,,
537,87318,14.0208,,,,
538,87319,12.8016,,,,
539,87320,14.6304,,,,
540,87321,11.5824,,,,
541,87322,12.8016,,,,
542,87328,7.9248,,,,
543,87330,30.1752,,,,
544,87331,23.1648,,,,
545,87334,6.096,,,,
546,87337,2.4384,,,,
547,87345,13.716,17.11452,10.48512,,
548,87346,15.24,13.54836,12.848844,14.81328,
549,87354,12.192,,,,
550,87361,14.0208,,,,
551,87364,3.6576,,,,
552,87365,5.1816,,,,
553,87366,3.6576,,,,
554,87370,2.060448,4.51104,,,
555,87371,6.7056,,,,
556,87372,18.288,,,,
557,87373,6.7056,,,,
558,87375,12.8016,,,,
559,87379,16.764,16.59636,17.2212,,
560,87380,12.8016,,,,
561,87381,15.24,,,,
562,87382,0,,,,
563,87386,0,,,,
564,87396,5.4864,,,,
