huc8,1980,1990,2000,2010,2020
15010001,0.0,0.0,,0.0,
15010002,66.67,,,,
15010003,36.84,0.0,14.29,0.0,
15010004,27.87,0.0,0.0,0.0,40.0
15010005,25.0,33.33,,,
15010006,33.33,0.0,0.0,0.0,0.0
15010007,67.57,38.46,57.14,,
15010009,7.14,0.0,0.0,0.0,
15010010,0.0,0.0,0.0,0.0,0.0
15010014,50.0,,,0.0,
15020001,0.65,0.34,1.52,0.0,0.0
15020002,21.05,14.08,13.73,30.0,25.0
15020003,28.57,20.0,0.0,,
15020004,0.0,,0.0,,
15020005,4.55,3.39,2.63,6.25,0.0
15020006,0.0,0.0,0.0,,
15020007,27.78,42.86,34.48,0.0,0.0
15020008,0.0,11.89,16.63,16.67,24.39
15020009,,0.0,0.0,,
15020010,0.0,,,,0.0
15020011,0.0,,0.0,0.0,
15020013,,,0.0,,
15020014,,,,,
15020015,29.55,12.5,3.08,12.5,0.0
15020016,37.5,,,0.0,
15020017,0.0,,,,
15020018,31.37,0.0,,,
15030101,53.77,53.1,49.4,38.74,69.84
15030103,75.0,34.38,15.79,0.0,70.0
15030104,2.38,3.92,0.0,0.0,0.0
15030105,0.0,0.0,0.0,,
15030106,2.8,0.0,0.0,0.0,
15030107,45.83,32.86,32.31,51.85,72.73
15030108,90.3,88.55,90.68,83.65,
15030201,32.62,15.25,9.8,16.67,0.0
15030202,37.5,0.0,0.0,18.18,
15030203,4.76,6.12,9.09,0.0,0.0
15030204,0.0,23.26,11.11,0.0,0.0
15040002,0.0,0.0,0.0,0.0,0.0
15040003,,,,,
15040004,0.0,2.33,0.0,0.0,0.0
15040005,3.99,2.49,1.16,2.63,0.0
15040006,11.29,2.63,12.0,11.11,0.0
15040007,,0.0,0.0,,
15050100,30.83,42.08,19.57,13.64,30.77
15050201,41.03,21.77,15.49,8.57,27.27
15050202,2.76,12.33,1.72,3.17,0.0
15050203,14.44,10.9,6.8,0.0,8.11
15050301,5.49,8.91,2.42,1.32,0.0
15050302,6.34,9.29,0.0,0.0,2.94
15050303,60.38,71.05,22.22,0.0,33.33
15050304,6.85,15.0,40.91,3.03,0.0
15050305,,60.0,,,
15060101,,0.0,0.0,,
15060102,0.0,,,,
15060103,0.46,2.41,1.28,2.78,0.0
15060104,0.0,,0.0,,
15060105,4.22,1.95,0.98,3.57,0.0
15060106,49.26,45.1,33.72,32.5,75.0
15060201,21.21,1.37,0.0,3.85,0.0
15060202,6.49,5.49,5.26,5.34,5.88
15060203,6.04,18.14,9.74,4.69,0.0
15070101,35.66,50.0,54.29,47.87,28.57
15070102,18.14,30.35,10.4,16.13,6.82
15070103,23.96,23.23,9.3,26.09,58.33
15070104,23.93,15.25,33.33,75.0,0.0
15070201,24.59,32.7,38.46,33.33,18.18
15070202,0.0,50.0,,,
15070203,50.0,40.0,,25.0,
15080101,,,50.0,,
15080102,33.33,33.33,,,
15080200,0.0,0.0,0.0,0.0,0.0
15080301,40.62,29.41,6.67,18.42,0.0
15080302,12.5,5.26,7.69,0.0,0.0
