,year,count,mean,std,min,25%,50%,75%,max
depth,1975.0,3246.0,163.03326549346534,178.99355854614294,-12.75,35.0,116.15,248.0,4634.0
depth,1976.0,3322.0,150.81757677005916,161.18442310733826,-13.08,32.6125,93.275,219.75,1780.0
depth,1977.0,4160.0,152.81333197379544,152.92679665353697,-11.51,37.150000000000006,100.485,235.0,1966.0
depth,1978.0,4419.0,151.54725443423555,157.75738008664604,-12.37,30.0,96.0,225.38,1236.0
depth,1979.0,4496.0,150.81349573885922,156.79521922308496,-47.12,30.0,97.78999999999999,229.0,1960.3
depth,1980.0,4196.0,158.20920982955425,159.10008055868673,0.0,30.0,110.0,250.0,1334.0
depth,1981.0,4934.0,161.64346192892478,147.10107690873093,-0.9,41.2625,124.0,246.1,1221.0
depth,1982.0,5123.0,173.62874379155016,160.59298591856177,-29.95,45.0,125.0,270.85,2400.0
depth,1983.0,3474.0,180.28508498962816,168.28493009862137,-29.95,44.0,133.1,274.2,1338.3
depth,1984.0,6365.0,207.36828251910234,172.95193226515718,-7.7,65.0,171.9,312.4,1470.0
depth,1985.0,4627.0,182.32015484166035,177.13792224525818,0.0,40.0,127.3,282.85,2350.0
depth,1986.0,4984.0,169.84239842796586,177.7863466227933,-1.0,34.975,120.0,265.8975,4209.0
depth,1987.0,6757.0,148.33702842422184,155.90118770299233,-31.2,25.8,99.25,225.6,1340.6
depth,1988.0,5784.0,190.30140407588524,174.60310526578118,0.0,50.0,143.88863636363635,288.625,1513.0
depth,1989.0,4886.0,171.60313125204263,187.32138416472495,-31.05,33.25,112.19999999999999,260.7375,4680.0
depth,1990.0,6876.0,156.07931187794296,177.23368181646325,0.0,39.6,112.0,226.4,7250.0
depth,1991.0,6096.0,176.30218687572906,185.00705090146067,0.0,43.275,121.9,280.0,6065.0
depth,1992.0,5493.0,136.20731855984093,160.41082704198436,-44.08,18.0,80.0,200.0,1910.0
depth,1993.0,6658.0,176.59548662739581,173.4746437320384,-46.39,49.6,125.225,265.0,4667.0
depth,1994.0,7835.0,165.1128392649487,169.33140258614768,-17.3,37.7,110.6,250.0,2550.0
depth,1995.0,7235.0,160.41174382871216,170.21470992781684,-41.77,35.0,104.81,240.55,2600.0
depth,1996.0,6078.0,160.6573279235024,173.62621112346602,-34.84,33.0,94.19714285714286,245.0,1650.0
depth,1997.0,6871.0,194.23473792853997,176.28948186370104,0.0,63.0,144.4,299.95,3022.0
depth,1998.0,7344.0,201.23048602960253,177.21170382659136,-36.575,73.6,155.25,292.525,5354.0
depth,1999.0,7371.0,192.8775751234362,178.4471611220423,-42.2,62.0,142.0,280.0,1962.85
depth,2000.0,6038.0,203.42731485954516,202.5517876479109,-21.29,65.0,150.0,300.4,5505.0
depth,2001.0,6624.0,205.921162571954,199.28781697773826,-1.2,60.0,148.75,301.85,2875.0
depth,2002.0,5608.0,214.53171253651246,389.09025920379474,0.0,80.0,162.85000000000002,309.6,26018.0
depth,2003.0,6480.0,213.71689332453332,217.87093486746906,0.0,80.270625,167.0,312.8925,7300.0
depth,2004.0,6860.0,208.56587412933274,179.81061352247931,-97.9,70.0,166.0,308.0,2168.0
depth,2005.0,6912.0,213.2009905551705,173.93871345950527,-43.89,79.45,180.0,304.8,2030.0
depth,2006.0,6388.0,215.95911599996754,288.887924150227,-27.9,61.0,159.55,318.525,15667.0
depth,2007.0,6405.0,210.29820381242925,183.77148257219952,-23.3,72.0,162.0,310.0,2063.0
depth,2008.0,4996.0,181.71101852036512,175.945970361094,0.0,45.0,132.975,275.585,1935.0
depth,2009.0,4074.0,204.72954915401104,174.51477171742616,0.0,69.92500000000001,157.9,305.595,1961.0766666666666
depth,2010.0,3304.0,208.18560819294035,178.54684598137118,0.0,75.0,167.39999999999998,304.105,2466.0
depth,2011.0,2895.0,212.93180855966136,177.45922275205712,0.0,75.0,179.0,311.55,1960.675
depth,2012.0,3008.0,210.68812588768722,187.9972997424107,0.0,74.1,170.53750000000002,301.66625,3154.0
depth,2013.0,3601.0,221.18157205710455,192.97815680154625,0.0,85.0,176.58,316.49,3815.0
depth,2014.0,3746.0,220.02959065705906,177.28216019685112,0.0,81.75,191.225,319.4875,2843.5
depth,2015.0,3744.0,213.35939947977513,181.09511658778644,0.0,82.0,173.411,305.0,2680.0
depth,2016.0,4052.0,223.5289010524316,181.37154912028674,0.0,84.66499999999999,191.2,323.45500000000004,3965.0
depth,2017.0,3891.0,212.47102827368417,171.8356379384702,-1.81,79.05,176.74,313.15,1959.95
depth,2018.0,4863.0,230.7444752873322,178.2198665598062,-1.43,91.35,196.0,329.95,2194.0
depth,2019.0,4542.0,223.88604710740617,176.10252510412556,-1.8,83.69,190.75,323.425,1959.75
depth,2020.0,4221.0,213.78815529764924,173.79834507771113,0.0,72.0,178.1,320.1,1959.6
depth,2021.0,3764.0,225.01771570370093,181.7700632542713,-3.5,80.0,186.85000000000002,335.0,1959.3
depth,2022.0,3458.0,238.40461375426514,200.70229502152782,0.0,82.0,192.85,353.9,2574.0
depth,2023.0,3134.0,231.7513367648359,200.2558459711515,0.0,78.11812499999999,182.0,338.45,1959.375
depth,2024.0,1108.0,212.4532648916968,167.81009138070928,-1.86,91.9,182.5,297.1,1130.0
