,ID,Year,Zero_Flow
0,9379025,2000,201
1,9379025,2001,201
2,9379025,2002,244
3,9379025,2003,168
4,9379025,2004,168
5,9379025,2005,175
6,9379025,2006,206
7,9379025,2022,61
8,9379025,2023,157
9,9379025,2024,232
10,9379025,2025,14
11,9379050,2000,4
12,9379050,2001,19
13,9379050,2002,11
14,9379050,2003,7
15,9379050,2004,0
16,9379050,2005,6
17,9379050,2006,0
18,9379180,2000,164
19,9379180,2001,137
20,9379180,2002,175
21,9379180,2003,207
22,9379180,2004,183
23,9379180,2005,142
24,9379200,2000,119
25,9379200,2001,94
26,9379200,2002,84
27,9379200,2003,81
28,9379200,2004,99
29,9379200,2005,98
30,9379200,2006,91
31,9379200,2007,49
32,9379200,2008,85
33,9379200,2009,118
34,9379200,2010,83
35,9379200,2011,52
36,9379200,2012,91
37,9379200,2013,46
38,9379200,2014,53
39,9379200,2015,22
40,9379200,2016,54
41,9379200,2017,36
42,9379200,2018,87
43,9379200,2019,135
44,9379200,2020,210
45,9379200,2021,3
46,9379200,2022,52
47,9379200,2023,161
48,9379200,2024,105
49,9379200,2025,0
50,9379910,2000,0
51,9379910,2001,0
52,9379910,2002,0
53,9379910,2003,0
54,9379910,2004,0
55,9380000,2000,0
56,9380000,2001,0
57,9380000,2002,0
58,9380000,2003,0
59,9380000,2004,0
60,9380000,2005,0
61,9380000,2006,0
62,9380000,2007,0
63,9380000,2008,0
64,9380000,2009,0
65,9380000,2010,0
66,9380000,2011,0
67,9380000,2012,0
68,9380000,2013,0
69,9380000,2014,0
70,9380000,2015,0
71,9380000,2016,0
72,9380000,2017,0
73,9380000,2018,0
74,9380000,2019,0
75,9380000,2020,0
76,9380000,2021,0
77,9380000,2022,0
78,9380000,2023,0
79,9380000,2024,0
80,9380000,2025,0
81,9382000,2000,0
82,9382000,2001,0
83,9382000,2002,0
84,9382000,2003,0
85,9382000,2004,0
86,9382000,2005,0
87,9382000,2006,0
88,9382000,2007,0
89,9382000,2008,0
90,9382000,2009,0
91,9382000,2010,0
92,9382000,2011,0
93,9382000,2012,0
94,9382000,2013,0
95,9382000,2014,0
96,9382000,2015,0
97,9382000,2016,0
98,9382000,2017,0
99,9382000,2018,0
100,9382000,2019,0
101,9382000,2020,0
102,9382000,2021,0
103,9382000,2022,0
104,9382000,2023,0
105,9382000,2024,0
106,9382000,2025,0
107,9383100,2000,0
108,9383100,2001,0
109,9383100,2002,0
110,9383400,2008,0
111,9383400,2009,0
112,9383400,2010,0
113,9383400,2011,0
114,9383400,2012,0
115,9383400,2013,0
116,9383400,2014,0
117,9383400,2015,0
118,9383400,2016,0
119,9383400,2017,0
120,9383400,2018,0
121,9383400,2019,0
122,9383400,2020,0
123,9383400,2021,0
124,9383400,2022,0
125,9383400,2023,0
126,9383400,2024,0
127,9383400,2025,0
128,9383417,2013,1
129,9383417,2014,331
130,9383417,2015,257
131,9383420,2008,82
132,9383420,2009,130
133,9383420,2010,101
134,9383420,2011,140
135,9383420,2012,113
136,9383420,2013,79
137,9383430,2008,0
138,9383430,2009,0
139,9383430,2010,0
140,9383430,2011,0
141,9383430,2012,0
142,9383430,2013,0
143,9383500,2008,12
144,9383500,2009,187
145,9383500,2010,69
146,9383500,2011,29
147,9383500,2012,102
148,9383500,2013,36
149,9383500,2014,23
150,9383500,2015,0
151,9383570,2008,0
152,9383570,2009,0
153,9383570,2010,8
154,9383570,2011,0
155,9383570,2012,28
156,9383570,2013,19
157,9383590,2008,18
158,9383590,2009,148
159,9383590,2010,291
160,9383590,2011,313
161,9383590,2012,261
162,9383595,2008,0
163,9383595,2009,0
164,9383595,2010,0
165,9383595,2011,0
166,9383595,2012,0
167,9383595,2013,0
168,9384000,2000,0
169,9384000,2001,0
170,9384000,2002,0
171,9384000,2003,0
172,9384000,2004,0
173,9384000,2005,0
174,9384000,2006,0
175,9384000,2007,0
176,9384000,2008,0
177,9384000,2009,0
178,9384000,2010,0
179,9384000,2011,0
180,9384000,2012,0
181,9384000,2013,0
182,9384000,2014,0
183,9384000,2015,0
184,9384000,2016,0
185,9384000,2017,0
186,9384000,2018,0
187,9384000,2019,0
188,9384000,2020,0
189,9384000,2021,0
190,9384000,2022,0
191,9384000,2023,0
192,9384000,2024,0
193,9384000,2025,0
194,9385700,2002,0
195,9385700,2003,0
196,9385700,2004,0
197,9385700,2005,0
198,9385700,2006,0
199,9385700,2007,0
200,9385700,2008,0
201,9385700,2009,0
202,9385700,2010,11
203,9385700,2011,0
204,9385700,2012,65
205,9385700,2013,62
206,9385700,2014,21
207,9385700,2015,0
208,9385700,2016,37
209,9385700,2017,13
210,9385700,2018,0
211,9385700,2019,0
212,9385700,2020,44
213,9385700,2021,61
214,9385700,2022,170
215,9385700,2023,122
216,9385700,2024,80
217,9385700,2025,14
218,9386030,2000,0
219,9386030,2001,2
220,9386030,2002,0
221,9386030,2003,96
222,9386030,2004,143
223,9386030,2005,171
224,9386030,2006,183
225,9386030,2007,330
226,9386030,2008,333
227,9386030,2009,365
228,9386030,2010,332
229,9386030,2011,286
230,9386030,2012,331
231,9386030,2013,315
232,9386030,2014,283
233,9386030,2015,313
234,9386030,2016,319
235,9386030,2017,260
236,9386030,2018,291
237,9386030,2019,228
238,9386030,2020,239
239,9386030,2021,310
240,9386030,2022,312
241,9386030,2023,220
242,9386030,2024,250
243,9386030,2025,14
244,9386250,2000,342
245,9386250,2001,333
246,9386250,2002,326
247,9386250,2003,336
248,9386250,2004,360
249,9386250,2005,341
250,9386250,2006,319
251,9386250,2007,296
252,9386250,2008,346
253,9386250,2009,360
254,9386250,2010,330
255,9386250,2011,327
256,9386250,2012,337
257,9386250,2013,237
258,9386300,2000,238
259,9386300,2001,269
260,9386300,2002,183
261,9386300,2003,269
262,9386300,2004,351
263,9386300,2005,348
264,9386300,2006,286
265,9386300,2007,313
266,9386300,2008,352
267,9386300,2009,363
268,9386300,2010,304
269,9386300,2011,283
270,9386300,2012,347
271,9386300,2013,299
272,9386300,2014,304
273,9386300,2015,260
274,9386300,2016,340
275,9386300,2017,300
276,9386300,2018,254
277,9386300,2019,279
278,9386300,2020,299
279,9386300,2021,274
280,9386300,2022,277
281,9386300,2023,287
282,9386300,2024,252
283,9386300,2025,14
284,9390500,2000,0
285,9390500,2001,0
286,9390500,2002,0
287,9390500,2003,0
288,9390500,2004,0
289,9390500,2005,0
290,9390500,2006,0
291,9390500,2007,0
292,9390500,2008,0
293,9390500,2009,0
294,9390500,2010,0
295,9390500,2011,0
296,9390500,2012,0
297,9390500,2013,0
298,9390500,2014,0
299,9390500,2015,0
300,9390500,2016,0
301,9390500,2017,0
302,9390500,2018,0
303,9390500,2019,0
304,9390500,2020,0
305,9390500,2021,0
306,9390500,2022,0
307,9390500,2023,0
308,9390500,2024,0
309,9390500,2025,0
310,9392000,2000,0
311,9392000,2001,0
312,9392000,2002,7
313,9392000,2003,0
314,9392000,2004,4
315,9392000,2005,0
316,9394500,2000,41
317,9394500,2001,26
318,9394500,2002,65
319,9394500,2003,41
320,9394500,2004,35
321,9394500,2005,21
322,9394500,2006,11
323,9394500,2007,65
324,9394500,2008,17
325,9394500,2009,0
326,9394500,2010,6
327,9394500,2011,41
328,9394500,2012,49
329,9394500,2013,64
330,9394500,2014,13
331,9394500,2015,0
332,9394500,2016,43
333,9394500,2017,22
334,9394500,2018,25
335,9394500,2019,42
336,9394500,2020,91
337,9394500,2021,68
338,9394500,2022,17
339,9394500,2023,4
340,9394500,2024,10
341,9394500,2025,0
342,9396100,2001,0
343,9396100,2002,0
344,9396100,2003,0
345,9396100,2004,0
346,9396100,2005,0
347,9396100,2006,0
348,9396100,2007,0
349,9396100,2008,0
350,9396100,2010,0
351,9396100,2012,0
352,9396100,2013,1
353,9396100,2014,0
354,9396100,2015,103
355,9396100,2016,182
356,9396100,2017,222
357,9396100,2018,281
358,9396100,2019,273
359,9396100,2020,34
360,9396100,2021,0
361,9396100,2022,0
362,9396100,2023,0
363,9396100,2024,0
364,9397000,2003,0
365,9397000,2004,21
366,9397000,2005,26
367,9397000,2006,24
368,9397000,2007,39
369,9397000,2008,18
370,9397000,2009,28
371,9397000,2010,51
372,9397000,2011,73
373,9397000,2012,53
374,9397000,2013,26
375,9397000,2014,49
376,9397000,2015,4
377,9397000,2016,44
378,9397000,2017,56
379,9397000,2018,96
380,9397000,2019,87
381,9397000,2020,0
382,9397000,2021,0
383,9397000,2022,0
384,9397000,2023,0
385,9397000,2024,0
386,9397300,2000,0
387,9397300,2001,0
388,9397300,2002,0
389,9397300,2003,0
390,9397300,2004,0
391,9397300,2005,0
392,9397300,2006,0
393,9397300,2007,29
394,9397300,2008,12
395,9397300,2009,0
396,9397300,2010,0
397,9397300,2011,0
398,9397300,2012,0
399,9397300,2013,0
400,9397300,2014,3
401,9397300,2015,45
402,9397300,2016,314
403,9397300,2017,281
404,9397300,2018,251
405,9397300,2019,226
406,9397300,2020,21
407,9397300,2021,0
408,9397300,2022,0
409,9397300,2023,0
410,9397300,2024,0
411,9397500,2000,277
412,9397500,2001,264
413,9397500,2002,365
414,9397500,2003,313
415,9397500,2004,281
416,9397500,2005,229
417,9397500,2006,365
418,9397500,2007,247
419,9397500,2008,239
420,9397500,2009,266
421,9397500,2010,271
422,9397500,2011,262
423,9397500,2012,265
424,9397500,2013,237
425,9397500,2014,312
426,9397500,2015,237
427,9397500,2016,202
428,9397500,2017,255
429,9397500,2018,365
430,9397500,2019,237
431,9397500,2020,248
432,9397500,2021,359
433,9397500,2022,218
434,9397500,2023,229
435,9397500,2024,291
436,9397500,2025,14
437,9398000,2005,0
438,9398000,2006,0
439,9398000,2020,0
440,9398000,2021,0
441,9398000,2022,0
442,9398000,2023,0
443,9398000,2024,0
444,9398000,2025,0
445,9399000,2005,23
446,9399000,2006,1
447,9399400,2006,89
448,9399400,2007,344
449,9399400,2008,310
450,9399400,2009,347
451,9399400,2010,310
452,9399400,2011,339
453,9399400,2012,335
454,9399400,2013,313
455,9399400,2014,344
456,9399400,2015,322
457,9399400,2016,350
458,9399400,2017,311
459,9399400,2018,342
460,9399400,2019,293
461,9399400,2020,356
462,9399400,2021,334
463,9399400,2022,315
464,9399400,2023,304
465,9399400,2024,338
466,9399400,2025,14
467,9400000,2001,0
468,9400000,2002,0
469,9400350,2001,0
470,9400350,2002,0
471,9400350,2003,0
472,9400350,2004,0
473,9400350,2005,0
474,9400350,2006,0
475,9400350,2007,0
476,9400350,2008,0
477,9400350,2009,0
478,9400350,2010,0
479,9400350,2011,0
480,9400350,2012,0
481,9400350,2013,0
482,9400350,2014,0
483,9400350,2015,0
484,9400350,2016,0
485,9400350,2017,0
486,9400350,2018,0
487,9400350,2019,0
488,9400350,2020,0
489,9400350,2021,0
490,9400350,2022,0
491,9400350,2023,0
492,9400350,2024,0
493,9400350,2025,0
494,9400562,2000,308
495,9400562,2001,336
496,9400562,2002,341
497,9400562,2003,316
498,9400562,2004,309
499,9400562,2005,323
500,9400562,2006,310
501,9400562,2007,314
502,9400562,2008,287
503,9400562,2009,352
504,9400562,2010,313
505,9400562,2011,317
506,9400562,2012,342
507,9400562,2013,298
508,9400568,2000,17
509,9400568,2001,20
510,9400568,2002,77
511,9400568,2003,48
512,9400568,2004,35
513,9400568,2005,87
514,9400568,2006,41
515,9400568,2007,0
516,9400568,2008,0
517,9400568,2009,0
518,9400568,2010,0
519,9400568,2011,0
520,9400568,2012,0
521,9400568,2013,3
522,9400568,2014,0
523,9400568,2015,10
524,9400568,2016,78
525,9400568,2017,71
526,9400568,2018,70
527,9400568,2019,154
528,9400568,2020,119
529,9400583,2000,321
530,9400583,2001,327
531,9400583,2002,350
532,9400583,2003,327
533,9400583,2004,290
534,9400583,2005,239
535,9400815,2014,92
536,9400815,2015,249
537,9400815,2016,266
538,9400815,2017,259
539,9400815,2018,288
540,9400815,2019,223
541,9400815,2020,271
542,9400815,2021,268
543,9400815,2022,231
544,9400815,2023,212
545,9400815,2024,245
546,9400815,2025,13
547,9401110,2000,0
548,9401110,2001,0
549,9401110,2002,0
