year,1501001002,1501001003,1501001006,1502000101,1502000102,1502000201,1502000501,1502000806,1502001501,1503010103,1503010104,1503010107,1503010302,1503010503,1503010504,1503010505,1503010601,1503010602,1503010701,1503010702,1503010803,1503020106,1503020301,1503020305,1503020404,1504000207,1504000208,1504000403,1504000506,1504000507,1504000508,1504000509,1504000603,1504000604,1504000606,1505010001,1505010002,1505010004,1505010007,1505020106,1505020107,1505020205,1505020206,1505020207,1505020208,1505020209,1505020211,1505020302,1505020303,1505020305,1505020307,1505020308,1505020309,1505030101,1505030102,1505030103,1505030104,1505030105,1505030106,1505030107,1505030108,1505030109,1505030201,1505030202,1505030203,1505030302,1505030401,1506010304,1506010306,1506010502,1506010503,1506010504,1506010603,1506020107,1506020108,1506020201,1506020203,1506020205,1506020206,1506020207,1506020301,1506020302,1506020303,1507010101,1507010102,1507010202,1507010204,1507010205,1507010206,1507010208,1507010209,1507010301,1507010303,1507010305,1507010405,1507010406,1507010407,1507020111,1507020113,1507020115,1508010203,1508030103,1508030104,1508030201
1980,36.55,36.55,10.0,28.75,16.5,,43.5,55.0,44.6,72.5,51.75,47.0,48.385,,,65.0,135.0,29.0,12.0,,,18.21,27.21,,,47.5,68.0,22.0,,21.3575,,,68.0,58.7,85.0,16.0,22.5,,,24.0,47.25,20.0,27.5,120.0,65.0,,40.5,30.0,,,56.7,0.0,26.0,15.0,,60.0,45.0,17.5,,,82.5,140.1,,149.15,74.25,,42.5,26.0,9.5,49.0,30.729999999999997,8.0,19.25,136.6,,33.5,66.0,80.0,22.14,19.4625,12.75,30.645,20.0,,28.25,55.0,19.5,,105.0,43.5,0.0,7.5,20.6,10.0,,85.0,20.0,90.0,,,94.5,57.0,,29.4
1981,36.635000000000005,55.27,,20.0,30.0,,90.0,,65.0,70.0,49.0,23.5,0.0,,,84.0,135.0,41.5,,,,40.1,66.925,,20.0,47.5,75.0,67.5,26.0,20.0,27.615,23.7,,59.6,90.0,,130.0,45.0,0.0,87.5,45.0,46.0,12.3,,61.0,55.0,45.0,35.5,72.0,28.5,63.0,25.5,24.5,11.0,42.2,27.6,53.0,20.0,61.525,88.05000000000001,79.1,125.0,80.0,47.4,69.86,,39.0,57.5,50.0,31.0,32.489999999999995,7.75,14.5,15.0,70.4,40.0,35.0,68.0,26.845,38.0,23.0,35.0,23.689999999999998,50.5,50.0,60.0,30.0,55.0,,57.5,61.5,57.5,69.65,27.9,,65.8425,58.69,0.0,9.0,15.0,72.85,101.0,45.0,29.7
1982,54.55,54.55,,20.0,,,48.4,12.5,110.0,92.5,53.5,65.0,0.0,,,85.0,132.0,40.0,,,7.5,43.26,18.0,87.4,65.0,130.0,48.7,24.5,68.75,45.0,51.349999999999994,38.3,,64.4,,30.0,30.0,,,67.5,28.5,33.0,45.38,,127.0,25.0,69.8,44.0,40.0,20.3,33.7,30.0,30.0,108.1,59.1,19.33,54.725,15.625,29.849999999999998,91.8375,67.3,135.475,92.5,22.5,44.45,,90.0,,24.5,,33.805,22.0,9.0,0.0,,60.08,68.0,40.0,28.5,33.94,11.54,34.355000000000004,23.04375,29.0,41.05,59.4,50.79,26.0,34.0,34.75,60.0,17.0,21.95,20.34,,46.0,44.64,13.5,13.5,,73.4,55.0,51.5,29.2
1983,,,,76.0,20.0,,63.65,18.0,96.0,85.0,12.5,,,158.0,158.0,69.95,162.0,47.5,5.0,,9.0,57.1,60.0,46.254999999999995,,42.0,69.0,0.29,28.5,29.0,53.55,41.800000000000004,,67.1,,41.15,29.0,44.0,135.4,53.0,42.5,103.0,61.0,54.5,85.335,24.8,29.75,,,24.5,56.7,28.9,29.25,72.0,26.75,11.4,107.5,15.3,155.0,,,112.475,,64.0,17.8,,61.5,20.0,,50.0,24.34,19.5,45.0,97.0,102.15,47.5,,41.0,35.0,34.0,19.25,30.669999999999998,27.5,56.0,11.0,44.5,,0.0,5.0,48.75,,19.5,60.005,90.0,,,,,15.0,12.0,74.9,72.625,58.5,73.25
1984,38.9,40.15,25.0,10.0,25.0,,31.2,90.0,90.0,84.5,8.0,55.0,83.65,84.1,84.1,112.925,135.0,77.5,8.5,,10.5,64.4,64.1,86.3,17.1,57.0,14.45,,40.0,32.0,42.355000000000004,34.8525,,,,57.1,,,32.8,65.0,,65.0,61.0,,26.0,59.95,64.625,62.5,,15.9,17.7,26.55,,,42.03,12.0,33.8,21.3,29.0,,58.175,100.175,,,56.5,31.9,11.725000000000001,28.0,85.0,40.0,23.5,,33.425,75.775,92.025,71.0,31.0,51.0,44.0,38.0,17.5,29.81,43.25,40.0,36.75,43.5,15.0,50.0,29.7,24.0,56.8,58.5,23.45,40.05,0.0,0.0,0.0,,,10.5,72.2,48.4,48.4,
1985,60.0,60.0,10.0,90.0,6.5,,33.0,,97.5,70.0,10.0,,128.0,,140.0,97.0,132.0,32.5,12.0,,8.25,34.405,40.0,86.3,22.7,,25.4,,48.0,34.875,55.0,45.11,,57.55,,24.0,,10.2,17.3,65.75,20.0,55.0,120.0,,65.0,26.5,26.0,31.0,33.0,23.3,13.9,33.6,,18.0,29.65,21.0,36.7,61.95,,,62.05,91.0,103.5,53.6575,43.515,0.0,,30.0,,101.0,21.0,11.5,30.0,52.6475,86.425,50.5,,72.6,43.0,40.0,11.0,24.36,27.0,,57.0,65.0,55.0,15.0,55.0,36.0,40.0,,56.0,,,60.0,60.0,0.0,0.0,34.5,76.35,42.0,,30.7
1986,55.0,55.0,,15.0,,33.5,23.0,0.0,105.0,50.75,15.0,29.0,108.45,,,65.13499999999999,140.0,30.5,12.25,,8.5,20.0,55.0,85.69999999999999,17.66,38.5,67.0,10.307500000000001,26.0,27.5,,,85.0,66.5,,,,5.1,20.5,90.25,30.0,42.0,70.0,72.35,24.0,24.7,49.75,55.0,38.85,,45.2,31.825,,,33.75,12.9,42.8,36.0,80.0,,0.0,96.19999999999999,0.0,35.95,21.0,0.0,55.0,66.0,50.5,,25.105,8.5,30.3,50.1,120.0,33.9075,0.0,46.5,55.5,50.0,45.0,25.0825,34.5,50.0,31.375,45.0,95.0,22.0,110.0,50.0,22.0,20.0,15.0,82.0,,,,12.0,13.0,11.5,78.2975,15.16,,29.5
1987,36.0,36.0,30.5,17.75,17.0,22.5,55.65,29.0,,65.0,92.75,19.0,87.0,105.3,,115.5,110.0,30.0,15.0,12.0,6.25,47.4,57.5,,,37.85,50.9,,55.0,24.0,25.35,40.2625,102.6,59.525,96.9,,,9.5,22.2,60.5,50.0,59.8,40.0,10.25,86.45,5.25,,40.0,40.0,,45.0,,,11.925,21.75,69.5,36.85,13.870000000000001,30.15,51.0,81.9,93.7,93.0,46.099999999999994,64.1,,58.75,,52.0,,27.3425,13.0,18.0,50.635,83.35,67.35,,73.0,21.0,35.5,29.0,25.1625,27.5,0.0,25.0,60.0,60.0,,70.25,35.0,53.0,,75.0,13.0,,0.0,8.0,13.0,11.5,62.0,79.6025,95.0,57.25,21.95
1988,65.0,,,29.0,2.0,,23.0,39.0,70.0,85.0,17.0,,129.2,83.47,115.4,78.5,140.0,38.0,18.5,,6.0,46.5,23.0,89.06,21.72,77.0,25.55,26.25,30.0,28.25,57.8,56.875,,58.7,,12.5,,17.5,102.6,82.0,,30.7,44.0,0.0,55.0,,58.75,40.0,53.8,,48.3,27.9,,,26.075000000000003,12.1,46.4,20.825,0.0,0.0,,47.5,,40.1,62.16,39.6,69.0,18.0,15.0,24.5,31.0,15.25,49.0,19.65,83.1,51.22,45.0,82.0,61.0,23.75,58.5,24.81,24.0,46.5,26.5,67.75,36.5,,0.0,45.0,60.0,5.0,129.35,83.35,33.8,0.0,,55.0,44.5,20.5,78.775,,36.0,35.35
