,Decade,huc4,DTW_Category,Well Count,Well Count_100m,Well Count_500m,Well Count_1000m,Well Count_1500m,Well Count_2000m,Ratio_100m,Ratio_500m,Ratio_1000m,Ratio_1500m,Ratio_2000m
0,1980,1501,Deep (10-61m),108,5.0,21,44,61,65,0.046296296296296294,0.19444444444444445,0.4074074074074074,0.5648148148148148,0.6018518518518519
1,1980,1501,Near Surface (<2m),116,5.0,25,42,55,72,0.04310344827586207,0.21551724137931033,0.3620689655172414,0.47413793103448276,0.6206896551724138
2,1980,1501,Shallow (5-10m),37,3.0,20,24,24,26,0.08108108108108109,0.5405405405405406,0.6486486486486487,0.6486486486486487,0.7027027027027027
3,1980,1501,Very Shallow (2-5m),29,6.0,19,21,21,21,0.20689655172413793,0.6551724137931034,0.7241379310344828,0.7241379310344828,0.7241379310344828
4,1980,1502,Deep (10-61m),403,38.0,152,254,301,337,0.09429280397022333,0.3771712158808933,0.630272952853598,0.7468982630272953,0.8362282878411911
5,1980,1502,Near Surface (<2m),124,30.0,62,78,90,99,0.24193548387096775,0.5,0.6290322580645161,0.7258064516129032,0.7983870967741935
6,1980,1502,Shallow (5-10m),190,32.0,106,149,168,176,0.16842105263157894,0.5578947368421052,0.7842105263157895,0.8842105263157894,0.9263157894736842
7,1980,1502,Very Shallow (2-5m),122,31.0,71,86,91,100,0.2540983606557377,0.5819672131147541,0.7049180327868853,0.7459016393442623,0.819672131147541
8,1980,1503,Deep (10-61m),1019,40.0,243,477,601,707,0.03925417075564279,0.23846908734052993,0.4681059862610402,0.5897939156035329,0.6938174681059862
9,1980,1503,Near Surface (<2m),216,28.0,65,89,130,160,0.12962962962962962,0.30092592592592593,0.41203703703703703,0.6018518518518519,0.7407407407407407
10,1980,1503,Shallow (5-10m),377,40.0,164,243,280,295,0.10610079575596817,0.4350132625994695,0.6445623342175066,0.7427055702917772,0.7824933687002652
11,1980,1503,Very Shallow (2-5m),555,25.0,76,140,217,281,0.04504504504504504,0.13693693693693693,0.25225225225225223,0.390990990990991,0.5063063063063064
12,1980,1504,Deep (10-61m),631,89.0,288,427,500,557,0.1410459587955626,0.45641838351822506,0.6767036450079239,0.7923930269413629,0.8827258320126783
13,1980,1504,Near Surface (<2m),62,20.0,41,49,56,59,0.3225806451612903,0.6612903225806451,0.7903225806451613,0.9032258064516129,0.9516129032258065
14,1980,1504,Shallow (5-10m),302,60.0,211,275,300,303,0.1986754966887417,0.6986754966887417,0.9105960264900662,0.9933774834437086,1.0033112582781456
15,1980,1504,Very Shallow (2-5m),200,44.0,140,182,193,195,0.22,0.7,0.91,0.965,0.975
16,1980,1505,Deep (10-61m),1403,187.0,699,972,1108,1186,0.13328581610833928,0.4982181040627227,0.6928011404133999,0.789736279401283,0.8453314326443335
17,1980,1505,Near Surface (<2m),412,86.0,196,259,300,330,0.2087378640776699,0.47572815533980584,0.6286407766990292,0.7281553398058253,0.8009708737864077
18,1980,1505,Shallow (5-10m),454,125.0,328,378,399,412,0.2753303964757709,0.7224669603524229,0.8325991189427313,0.8788546255506607,0.9074889867841409
19,1980,1505,Very Shallow (2-5m),236,94.0,190,212,218,225,0.3983050847457627,0.8050847457627118,0.8983050847457628,0.923728813559322,0.9533898305084746
20,1980,1506,Deep (10-61m),1762,214.0,754,1038,1181,1283,0.12145289443813848,0.4279228149829739,0.5891032917139614,0.6702610669693531,0.728149829738933
21,1980,1506,Near Surface (<2m),444,51.0,162,245,281,304,0.11486486486486487,0.36486486486486486,0.5518018018018018,0.6328828828828829,0.6846846846846847
22,1980,1506,Shallow (5-10m),959,210.0,617,737,779,851,0.21897810218978103,0.643378519290928,0.7685088633993743,0.8123044838373306,0.8873826903023984
23,1980,1506,Very Shallow (2-5m),506,111.0,358,429,464,482,0.21936758893280633,0.7075098814229249,0.8478260869565217,0.9169960474308301,0.9525691699604744
24,1980,1507,Deep (10-61m),1048,103.0,413,648,778,852,0.0982824427480916,0.39408396946564883,0.6183206106870229,0.7423664122137404,0.8129770992366412
25,1980,1507,Near Surface (<2m),344,31.0,106,153,196,227,0.09011627906976744,0.3081395348837209,0.44476744186046513,0.5697674418604651,0.6598837209302325
26,1980,1507,Shallow (5-10m),331,53.0,186,241,283,307,0.16012084592145015,0.5619335347432024,0.7280966767371602,0.8549848942598187,0.9274924471299094
27,1980,1507,Very Shallow (2-5m),277,40.0,134,191,221,249,0.1444043321299639,0.48375451263537905,0.6895306859205776,0.7978339350180506,0.8989169675090253
28,1980,1508,Deep (10-61m),135,7.0,34,53,74,102,0.05185185185185185,0.2518518518518518,0.3925925925925926,0.5481481481481482,0.7555555555555555
29,1980,1508,Near Surface (<2m),22,5.0,8,9,11,12,0.22727272727272727,0.36363636363636365,0.4090909090909091,0.5,0.5454545454545454
30,1980,1508,Shallow (5-10m),15,5.0,11,12,13,13,0.3333333333333333,0.7333333333333333,0.8,0.8666666666666667,0.8666666666666667
31,1980,1508,Very Shallow (2-5m),19,12.0,15,15,15,15,0.631578947368421,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263
32,1990,1501,Deep (10-61m),125,11.0,31,62,82,86,0.088,0.248,0.496,0.656,0.688
33,1990,1501,Near Surface (<2m),27,4.0,9,16,19,22,0.14814814814814814,0.3333333333333333,0.5925925925925926,0.7037037037037037,0.8148148148148148
